################################# CSV #######################
,Folder,File,Settings,Toolchain,Message,Runtime (ns),Allocated memory end (bytes),Max. memory available (bytes),Overall iterations,NumberOfCodeBlocks,SizeOfPredicates,Conjuncts in SSA,Conjuncts in UnsatCore,ICC
,loop-new,count_by_1_variant_true-unreach-call.c,Kojak-FP.epf,CodeCheckWithBE_C.xml,ExpectedResult: SAFE UltimateResult: NO_RESULT   NO_RESULT,6.1065304166E10,1.529806848E9,3.81779968E9,93,0,[J@48bbd048,39238,4554,0.39869281045751637
,loop-invgen,apache-escape-absolute_true-unreach-call.c,TreeInterpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SYNTAX_ERROR   [ShortDescription: Incorrect Syntax LongDescription: Error: unexpected dispatch result],6196006.0,4.20478976E8,3.81779968E9,null,null,null,null,null,null
,systemc,bist_cell_true-unreach-call_false-termination.cil.c,ForwardPredicates.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],5.600764051E9,1.242365952E9,3.81779968E9,9,0,[J@1af075d6,6450,148,0.593167701863354
,ntdrivers-simplified,floppy_simpl3_false-unreach-call_true-termination.cil.c,TreeInterpolation.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,8.13772625E8,1.60104448E9,3.81779968E9,15,0,null,null,null,NaN
,loop-new,count_by_nondet_true-unreach-call.c,ForwardPredicates.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 5)],6.0015828671E10,1.541537792E9,3.81779968E9,115,0,[J@20c8426b,53827,6895,0.0
,systemc,kundu2_false-unreach-call_false-termination.cil.c,ForwardPredicates.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [ShortDescription: ArrayIndexOutOfBoundsException LongDescription: java.lang.ArrayIndexOutOfBoundsException],5.372664593E9,1.523843072E9,3.81779968E9,null,null,null,null,null,null
,loop-new,count_by_1_true-unreach-call.c,TreeInterpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 5)],6.0068999784E10,1.529806848E9,3.81779968E9,86,0,null,null,null,0.0
,systemc,kundu1_false-unreach-call_false-termination.cil.c,ForwardPredicates.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,1.3576515654E10,1.445527552E9,3.81779968E9,26,0,[J@3b808f9d,11526,287,0.8912621359223301
,loop-new,count_by_k_true-unreach-call.c,Kojak-TreeInterpolation.epf,CodeCheckWithBE_C.xml,ExpectedResult: SAFE UltimateResult: NO_RESULT   NO_RESULT,6.1950874351E10,1.540358144E9,3.81779968E9,98,0,-1,-1,-1,0.0
,systemc,kundu1_false-unreach-call_false-termination.cil.c,TreeInterpolation.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,1.386825224E10,1.343488E9,3.81779968E9,22,0,null,null,null,0.9076327433628318
,locks,test_locks_12_true-unreach-call_false-termination.c,ForwardPredicates.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],3.70525412E8,3.05856512E8,3.81779968E9,12,0,[J@7554aaef,990,36,NaN
,ntdrivers-simplified,floppy_simpl3_true-unreach-call_true-termination.cil.c,ForwardPredicates.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,6.09178431E8,1.60104448E9,3.81779968E9,13,0,[J@9a26d17,3886,52,NaN
,loop-invgen,apache-escape-absolute_true-unreach-call.c,ForwardPredicates.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SYNTAX_ERROR   [ShortDescription: Incorrect Syntax LongDescription: Error: unexpected dispatch result],1.2900912E7,4.20478976E8,3.81779968E9,null,null,null,null,null,null
,systemc,kundu1_false-unreach-call_false-termination.cil.c,Kojak-FP.epf,CodeCheckWithBE_C.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,6.0141814809E10,1.445527552E9,3.81779968E9,96,0,[J@76391fe,28631,1435,0.9902610050642774
,recursive,Ackermann03_true-unreach-call.c,Kojak-TreeInterpolation.epf,CodeCheckWithBE_C.xml,ExpectedResult: SAFE UltimateResult: NO_RESULT   NO_RESULT,6.0073793729E10,4.92306432E8,3.81779968E9,631,0,-1,-1,-1,0.9084898946158925
,recursive,Ackermann03_true-unreach-call.c,TreeInterpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [ShortDescription: ArrayIndexOutOfBoundsException LongDescription: java.lang.ArrayIndexOutOfBoundsException],2.069071961E9,5.1183616E8,3.81779968E9,null,null,null,null,null,null
,loop-new,count_by_2_true-unreach-call.c,Kojak-TreeInterpolation.epf,CodeCheckWithBE_C.xml,ExpectedResult: SAFE UltimateResult: NO_RESULT   NO_RESULT,6.1389734269E10,1.540030464E9,3.81779968E9,145,0,-1,-1,-1,0.0
,loop-invgen,down_true-unreach-call.c,TreeInterpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 5)],6.0008398676E10,9.10426112E8,3.81779968E9,90,0,null,null,null,0.6932232157641993
,systemc,kundu2_false-unreach-call_false-termination.cil.c,Kojak-FP.epf,CodeCheckWithBE_C.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,6.0239465986E10,1.601437696E9,3.81779968E9,101,0,[J@28f44b17,31356,611,0.9745508982035929
,recursive,Addition01_true-unreach-call_true-termination.c,Kojak-FP.epf,CodeCheckWithBE_C.xml,ExpectedResult: SAFE UltimateResult: NO_RESULT   NO_RESULT,6.7163670409E10,1.127153664E9,3.81779968E9,29,0,[J@3b2177cc,4601,2358,0.39563803328869335
,locks,test_locks_11_true-unreach-call_false-termination.c,Kojak-TreeInterpolation.epf,CodeCheckWithBE_C.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],5.5173998E8,3.05856512E8,3.81779968E9,2,0,-1,-1,-1,NaN
,ntdrivers-simplified,floppy_simpl3_true-unreach-call_true-termination.cil.c,TreeInterpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,9.05923813E8,1.153499136E9,3.81779968E9,15,0,null,null,null,NaN
,systemc,kundu1_false-unreach-call_false-termination.cil.c,Kojak-TreeInterpolation.epf,CodeCheckWithBE_C.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,6.0402675279E10,7.08837376E8,3.81779968E9,183,0,-1,-1,-1,0.9514890428919274
,ssh-simplified,s3_clnt_2_false-unreach-call_true-termination.cil.c,TreeInterpolation.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,5.44752723E8,1.574961152E9,3.81779968E9,17,0,null,null,null,0.9032967032967033
,recursive,Ackermann04_true-unreach-call.c,ForwardPredicates.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [ShortDescription: ArrayIndexOutOfBoundsException LongDescription: java.lang.ArrayIndexOutOfBoundsException],2.842518E7,5.1183616E8,3.81779968E9,null,null,null,null,null,null
,ssh-simplified,s3_clnt_3.cil_true-unreach-call_true-termination.c,Kojak-TreeInterpolation.epf,CodeCheckWithBE_C.xml,ExpectedResult: SAFE UltimateResult: NO_RESULT   NO_RESULT,6.0344488016E10,1.61185792E9,3.81779968E9,132,0,-1,-1,-1,0.9586985991866245
,loop-invgen,apache-get-tag_true-unreach-call.c,TreeInterpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SYNTAX_ERROR   [ShortDescription: Incorrect Syntax LongDescription: Error: unexpected dispatch result],5570158.0,4.20478976E8,3.81779968E9,null,null,null,null,null,null
,recursive,Ackermann02_false-unreach-call_false-termination.c,Kojak-TreeInterpolation.epf,CodeCheckWithBE_C.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,5.9996002986E10,1.17047296E9,3.81779968E9,6144,0,-1,-1,-1,0.9999407863571766
,systemc,mem_slave_tlm.1_true-unreach-call_false-termination.cil.c,TreeInterpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 10)],6.0005118732E10,2.536308736E9,3.81779968E9,23,0,null,null,null,0.5945945945945946
,ntdrivers-simplified,cdaudio_simpl1_false-unreach-call_true-termination.cil.c,TreeInterpolation.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,4.331922582E9,1.590624256E9,3.81779968E9,55,0,null,null,null,1.0
,loop-new,count_by_2_true-unreach-call.c,ForwardPredicates.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],6.0002460625E10,1.53780224E9,3.81779968E9,null,null,null,null,null,null
,ntdrivers-simplified,diskperf_simpl1_true-unreach-call_true-termination.cil.c,ForwardPredicates.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,1.733180096E9,1.509425152E9,3.81779968E9,27,0,[J@6a805f2,7852,123,NaN
,loop-invgen,half_2_true-unreach-call.c,TreeInterpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SYNTAX_ERROR   [ShortDescription: Incorrect Syntax LongDescription: Following method was called but never declared! assume],4355883.0,1.527382016E9,3.81779968E9,null,null,null,null,null,null
,loop-new,count_by_2_true-unreach-call.c,TreeInterpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 5)],6.0072087929E10,1.540358144E9,3.81779968E9,86,0,null,null,null,0.0
,loop-invgen,down_true-unreach-call.c,ForwardPredicates.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 5)],5.9998197969E10,1.486422016E9,3.81779968E9,92,0,[J@11e5648,21441,3412,0.04125323554788611
,ntdrivers-simplified,cdaudio_simpl1_false-unreach-call_true-termination.cil.c,Kojak-TreeInterpolation.epf,CodeCheckWithBE_C.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,6.112107257E10,1.590624256E9,3.81779968E9,140,0,-1,-1,-1,0.6666666666666666
,recursive,Ackermann01_true-unreach-call.c,TreeInterpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [ShortDescription: ArrayIndexOutOfBoundsException LongDescription: java.lang.ArrayIndexOutOfBoundsException],2.68622605E8,8.20445184E8,3.81779968E9,null,null,null,null,null,null
,loop-invgen,half_2_true-unreach-call.c,Kojak-FP.epf,CodeCheckWithBE_C.xml,ExpectedResult: SAFE UltimateResult: SYNTAX_ERROR   [ShortDescription: Incorrect Syntax LongDescription: Following method was called but never declared! assume],4458130.0,1.527382016E9,3.81779968E9,null,null,null,null,null,null
,locks,test_locks_10_true-unreach-call.c,Kojak-FP.epf,CodeCheckWithBE_C.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],1.114045218E9,2.28589568E8,3.81779968E9,2,0,[J@28f58f69,22,1,NaN
,ntdrivers-simplified,floppy_simpl3_false-unreach-call_true-termination.cil.c,Kojak-FP.epf,CodeCheckWithBE_C.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   unknown kind of specification may be violated ,4.9255979315E10,1.093271552E9,3.81779968E9,62,0,[J@66775c6d,20440,372,NaN
,locks,test_locks_12_true-unreach-call_false-termination.c,Kojak-FP.epf,CodeCheckWithBE_C.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],4.52228966E8,3.10771712E8,3.81779968E9,2,0,[J@588db749,24,1,NaN
,loop-new,count_by_1_true-unreach-call.c,ForwardPredicates.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],6.0043038239E10,1.527382016E9,3.81779968E9,null,null,null,null,null,null
,ssh-simplified,s3_clnt_2_true-unreach-call_true-termination.cil.c,Kojak-TreeInterpolation.epf,CodeCheckWithBE_C.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],1.6115954175E10,1.609367552E9,3.81779968E9,50,0,-1,-1,-1,0.9180929095354523
,loop-invgen,fragtest_simple_true-unreach-call.c,ForwardPredicates.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 5)],5.9992172377E10,1.474035712E9,3.81779968E9,90,0,[J@6eb2918a,18468,3283,0.02002679641774205
,recursive,Addition01_true-unreach-call_true-termination.c,Kojak-TreeInterpolation.epf,CodeCheckWithBE_C.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],1.07405805E8,7.93772032E8,3.81779968E9,4,0,-1,-1,-1,0.6666666666666666
,loop-invgen,fragtest_simple_true-unreach-call.c,Kojak-TreeInterpolation.epf,CodeCheckWithBE_C.xml,ExpectedResult: SAFE UltimateResult: NO_RESULT   NO_RESULT,6.1335066532E10,1.525415936E9,3.81779968E9,62,0,-1,-1,-1,0.6748921421737639
,locks,test_locks_13_true-unreach-call.c,Kojak-TreeInterpolation.epf,CodeCheckWithBE_C.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],3.72779206E8,4.2237952E8,3.81779968E9,2,0,-1,-1,-1,NaN
,locks,test_locks_14_false-unreach-call.c,ForwardPredicates.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,8.7693061E7,4.2237952E8,3.81779968E9,1,0,[J@d7133cd,0,0,NaN
,locks,test_locks_13_true-unreach-call.c,ForwardPredicates.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],3.234103E8,3.47078656E8,3.81779968E9,13,0,[J@2ffdea0,1144,39,NaN
,systemc,mem_slave_tlm.1_true-unreach-call_false-termination.cil.c,ForwardPredicates.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],1.4347012465E10,2.321022976E9,3.81779968E9,27,0,[J@6c70dbe9,22065,201,0.8546409807355516


################################# Summary #######################
Safe: 33
Unsafe: 22
Timeout: 17
Error: 68
Expected Safe: 108
Expected Unsafe: 32
Total: 140
CSV conversion gone wrong: 0

################################# Latex #######################
\newcommand{\headcolor}{}
\newcommand{\header}[1]{\parbox{2.8em}{\centering #1}\headcolor}
\newcommand{\folder}[1]{\parbox{5em}{#1}}
\begin{table}
\centering
\resizebox{\linewidth}{!}{%
\begin{tabu} to \linewidth {lcllcccccccccc}
\toprule
  \header{}& 
  \header{Count}&
  \header{Result}&
  \header{Variant}& 
  \header{Count}&
  \header{Avg. runtime}&
  \header{Mem{-}ory}&
  \header{Iter{-}ations}&
  \header{Loc{-}ations}&
  \header{Pred. size}&
  \header{Conj. SSA}&
  \header{Conj. IC}&
  \header{ICC}\\
  \cmidrule(r){2-14}
\multirow{10}{*}{\folder{loop-new}} &
\multirow{2}{*}{0} &
\multirow{2}{*}{\folder{Unsafe}} 
 & TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & ForwardPredicates.epf & 0 & - & - & - & - & - & - & - & -\\
& \multirow{2}{*}{5} &
\multirow{2}{*}{\folder{Safe}} 
 & TreeInterpolation.epf & 1 & 0.04 s & 1466.56 MB & 3 & 0 & - & - & - & 69.57\%\\
 &  &  & ForwardPredicates.epf & 0 & - & - & - & - & - & - & - & -\\
& & \multirow{2}{*}{\folder{Timeout}} 
 & TreeInterpolation.epf & 4 & 60.06 s & 1468.63 MB & 76 & 0 & - & - & - & 0.00\%\\
 &  &  & ForwardPredicates.epf & 3 & 60.02 s & 1464.44 MB & 38 & 0 & - & 17.9 K & 2.3 K & 0.00\%\\
& & \multirow{2}{*}{\folder{Error}} 
 & TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & ForwardPredicates.epf & 2 & 0.04 s & 1463.97 MB & - & - & - & - & - & -\\
& \multirow{2}{*}{5} &
\multirow{2}{*}{\folder{Total}} 
 & TreeInterpolation.epf & 5 & 48.05 s & 1468.21 MB & 61 & 0 & - & - & - & 13.91\%\\
 &  &  & ForwardPredicates.epf & 5 & 36.03 s & 1464.25 MB & 23 & 0 & - & 10.8 K & 1.4 K & 0.00\%\\
\midrule
\multirow{10}{*}{\folder{ntdrivers-simplified}} &
\multirow{2}{*}{2} &
\multirow{2}{*}{\folder{Unsafe}} 
 & TreeInterpolation.epf & 2 & 2.57 s & 1521.91 MB & 35 & 0 & - & - & - & 50.00\%\\
 &  &  & ForwardPredicates.epf & 2 & 3.66 s & 1157.41 MB & 40 & 0 & - & 15.0 K & 304 & -\\
& \multirow{2}{*}{3} &
\multirow{2}{*}{\folder{Safe}} 
 & TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & ForwardPredicates.epf & 0 & - & - & - & - & - & - & - & -\\
& & \multirow{2}{*}{\folder{Timeout}} 
 & TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & ForwardPredicates.epf & 0 & - & - & - & - & - & - & - & -\\
& & \multirow{2}{*}{\folder{Error}} 
 & TreeInterpolation.epf & 3 & 2.35 s & 1120.17 MB & 32 & 0 & - & - & - & -\\
 &  &  & ForwardPredicates.epf & 3 & 2.43 s & 1492.83 MB & 36 & 0 & - & 12.8 K & 252 & -\\
& \multirow{2}{*}{5} &
\multirow{2}{*}{\folder{Total}} 
 & TreeInterpolation.epf & 5 & 2.44 s & 1280.86 MB & 33 & 0 & - & - & - & 40.00\%\\
 &  &  & ForwardPredicates.epf & 5 & 2.92 s & 1358.66 MB & 38 & 0 & - & 13.7 K & 272 & -\\
\midrule
\multirow{10}{*}{\folder{loop-invgen}} &
\multirow{2}{*}{0} &
\multirow{2}{*}{\folder{Unsafe}} 
 & TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & ForwardPredicates.epf & 0 & - & - & - & - & - & - & - & -\\
& \multirow{2}{*}{5} &
\multirow{2}{*}{\folder{Safe}} 
 & TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & ForwardPredicates.epf & 0 & - & - & - & - & - & - & - & -\\
& & \multirow{2}{*}{\folder{Timeout}} 
 & TreeInterpolation.epf & 2 & 60.05 s & 1162.44 MB & 76 & 0 & - & - & - & 71.03\%\\
 &  &  & ForwardPredicates.epf & 2 & 60.00 s & 1411.66 MB & 91 & 0 & - & 20.0 K & 3.3 K & 3.06\%\\
& & \multirow{2}{*}{\folder{Error}} 
 & TreeInterpolation.epf & 3 & 0.01 s & 752.88 MB & - & - & - & - & - & -\\
 &  &  & ForwardPredicates.epf & 3 & 0.01 s & 752.88 MB & - & - & - & - & - & -\\
& \multirow{2}{*}{5} &
\multirow{2}{*}{\folder{Total}} 
 & TreeInterpolation.epf & 5 & 24.02 s & 916.70 MB & 30 & 0 & - & - & - & 28.41\%\\
 &  &  & ForwardPredicates.epf & 5 & 24.00 s & 1016.39 MB & 36 & 0 & - & 8.0 K & 1.3 K & 1.23\%\\
\midrule
\multirow{10}{*}{\folder{systemc}} &
\multirow{2}{*}{2} &
\multirow{2}{*}{\folder{Unsafe}} 
 & TreeInterpolation.epf & 2 & 36.16 s & 1453.50 MB & 29 & 0 & - & - & - & 92.25\%\\
 &  &  & ForwardPredicates.epf & 1 & 13.58 s & 1378.56 MB & 26 & 0 & - & 11.5 K & 287 & 89.13\%\\
& \multirow{2}{*}{3} &
\multirow{2}{*}{\folder{Safe}} 
 & TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & ForwardPredicates.epf & 2 & 9.97 s & 1699.16 MB & 18 & 0 & - & 14.3 K & 174 & 72.39\%\\
& & \multirow{2}{*}{\folder{Timeout}} 
 & TreeInterpolation.epf & 3 & 60.03 s & 1744.46 MB & 16 & 0 & - & - & - & 74.12\%\\
 &  &  & ForwardPredicates.epf & 1 & 59.99 s & 2326.06 MB & 18 & 0 & - & 7.5 K & 148 & 76.87\%\\
& & \multirow{2}{*}{\folder{Error}} 
 & TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & ForwardPredicates.epf & 1 & 5.37 s & 1453.25 MB & - & - & - & - & - & -\\
& \multirow{2}{*}{5} &
\multirow{2}{*}{\folder{Total}} 
 & TreeInterpolation.epf & 5 & 50.48 s & 1628.08 MB & 21 & 0 & - & - & - & 81.37\%\\
 &  &  & ForwardPredicates.epf & 5 & 19.78 s & 1711.24 MB & 16 & 0 & - & 9.5 K & 156 & 62.16\%\\
\midrule
\multirow{10}{*}{\folder{recursive}} &
\multirow{2}{*}{1} &
\multirow{2}{*}{\folder{Unsafe}} 
 & TreeInterpolation.epf & 1 & 0.07 s & 941.88 MB & 4 & 0 & - & - & - & 78.95\%\\
 &  &  & ForwardPredicates.epf & 0 & - & - & - & - & - & - & - & -\\
& \multirow{2}{*}{4} &
\multirow{2}{*}{\folder{Safe}} 
 & TreeInterpolation.epf & 2 & 1.01 s & 696.31 MB & 8 & 0 & - & - & - & 52.22\%\\
 &  &  & ForwardPredicates.epf & 0 & - & - & - & - & - & - & - & -\\
& & \multirow{2}{*}{\folder{Timeout}} 
 & TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & ForwardPredicates.epf & 1 & 59.99 s & 1074.94 MB & 47 & 0 & - & 12.7 K & 6.7 K & 56.88\%\\
& & \multirow{2}{*}{\folder{Error}} 
 & TreeInterpolation.epf & 2 & 1.17 s & 635.28 MB & - & - & - & - & - & -\\
 &  &  & ForwardPredicates.epf & 4 & 8.03 s & 947.27 MB & - & - & - & - & - & -\\
& \multirow{2}{*}{5} &
\multirow{2}{*}{\folder{Total}} 
 & TreeInterpolation.epf & 5 & 0.88 s & 721.01 MB & 4 & 0 & - & - & - & 36.68\%\\
 &  &  & ForwardPredicates.epf & 5 & 18.42 s & 972.80 MB & 9 & 0 & - & 2.5 K & 1.3 K & 11.38\%\\
\midrule
\multirow{10}{*}{\folder{locks}} &
\multirow{2}{*}{1} &
\multirow{2}{*}{\folder{Unsafe}} 
 & TreeInterpolation.epf & 1 & 0.09 s & 401.00 MB & 2 & 0 & - & - & - & -\\
 &  &  & ForwardPredicates.epf & 1 & 0.09 s & 402.81 MB & 1 & 0 & - & 0 & 0 & -\\
& \multirow{2}{*}{4} &
\multirow{2}{*}{\folder{Safe}} 
 & TreeInterpolation.epf & 4 & 0.30 s & 318.13 MB & 11 & 0 & - & - & - & -\\
 &  &  & ForwardPredicates.epf & 4 & 0.66 s & 266.47 MB & 11 & 0 & - & 924 & 34 & -\\
& & \multirow{2}{*}{\folder{Timeout}} 
 & TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & ForwardPredicates.epf & 0 & - & - & - & - & - & - & - & -\\
& & \multirow{2}{*}{\folder{Error}} 
 & TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & ForwardPredicates.epf & 0 & - & - & - & - & - & - & - & -\\
& \multirow{2}{*}{5} &
\multirow{2}{*}{\folder{Total}} 
 & TreeInterpolation.epf & 5 & 0.26 s & 334.70 MB & 9 & 0 & - & - & - & -\\
 &  &  & ForwardPredicates.epf & 5 & 0.54 s & 293.74 MB & 9 & 0 & - & 739 & 27 & -\\
\midrule
\multirow{10}{*}{\folder{ssh-simplified}} &
\multirow{2}{*}{2} &
\multirow{2}{*}{\folder{Unsafe}} 
 & TreeInterpolation.epf & 2 & 0.50 s & 1309.34 MB & 16 & 0 & - & - & - & 89.96\%\\
 &  &  & ForwardPredicates.epf & 2 & 0.36 s & 1013.84 MB & 8 & 0 & - & 895 & 19 & 78.88\%\\
& \multirow{2}{*}{3} &
\multirow{2}{*}{\folder{Safe}} 
 & TreeInterpolation.epf & 3 & 1.27 s & 1117.50 MB & 26 & 0 & - & - & - & 94.23\%\\
 &  &  & ForwardPredicates.epf & 3 & 1.05 s & 1393.73 MB & 17 & 0 & - & 7.1 K & 58 & 95.54\%\\
& & \multirow{2}{*}{\folder{Timeout}} 
 & TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & ForwardPredicates.epf & 0 & - & - & - & - & - & - & - & -\\
& & \multirow{2}{*}{\folder{Error}} 
 & TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & ForwardPredicates.epf & 0 & - & - & - & - & - & - & - & -\\
& \multirow{2}{*}{5} &
\multirow{2}{*}{\folder{Total}} 
 & TreeInterpolation.epf & 5 & 0.96 s & 1194.24 MB & 22 & 0 & - & - & - & 92.52\%\\
 &  &  & ForwardPredicates.epf & 5 & 0.78 s & 1241.78 MB & 13 & 0 & - & 4.6 K & 42 & 88.88\%\\
\bottomrule
& & & & & & & & & & & & & \\
\end{tabu}}
\caption{Results for AutomizerC.xml.}
\end{table}
\begin{table}
\centering
\resizebox{\linewidth}{!}{%
\begin{tabu} to \linewidth {lcllcccccccccc}
\toprule
  \header{}& 
  \header{Count}&
  \header{Result}&
  \header{Variant}& 
  \header{Count}&
  \header{Avg. runtime}&
  \header{Mem{-}ory}&
  \header{Iter{-}ations}&
  \header{Loc{-}ations}&
  \header{Pred. size}&
  \header{Conj. SSA}&
  \header{Conj. IC}&
  \header{ICC}\\
  \cmidrule(r){2-14}
\multirow{10}{*}{\folder{loop-new}} &
\multirow{2}{*}{0} &
\multirow{2}{*}{\folder{Unsafe}} 
 & Kojak-TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & Kojak-FP.epf & 0 & - & - & - & - & - & - & - & -\\
& \multirow{2}{*}{5} &
\multirow{2}{*}{\folder{Safe}} 
 & Kojak-TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & Kojak-FP.epf & 0 & - & - & - & - & - & - & - & -\\
& & \multirow{2}{*}{\folder{Timeout}} 
 & Kojak-TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & Kojak-FP.epf & 0 & - & - & - & - & - & - & - & -\\
& & \multirow{2}{*}{\folder{Error}} 
 & Kojak-TreeInterpolation.epf & 5 & 61.08 s & 1467.99 MB & 125 & 0 & -1 & -1 & -1 & 7.98\%\\
 &  &  & Kojak-FP.epf & 5 & 49.28 s & 1464.35 MB & 72 & 0 & - & 16.3 K & 3.6 K & 7.97\%\\
& \multirow{2}{*}{5} &
\multirow{2}{*}{\folder{Total}} 
